Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),Expert (CTG),6,246,38,151,20,1.0,8.9488,5.15,0.16104,0.73889,0.0,0,0.73889,2,9.318,0.032
Env. (realmap_a),Expert (CTG),7,369,55,390,122,1.0,6.1844,3.75,0.145669,0.55709,0.0,0,0.55709,3,6.463,0.278
Env. (realmap_a),Expert (CTG),8,234,40,103,45,1.0,12.4975,6.9,0.164074,0.98214,0.0,0,0.98214,2,12.989,0.175
Env. (realmap_a),Expert (CTG),9,65,43,152,40,1.0,7.9956,4.65,0.145647,0.69557,0.0,0,0.69557,4,8.343,0.853
Env. (realmap_a),Expert (CTG),10,274,22,366,22,1.0,8.3369,5.5,0.090287,0.77452,0.0,0,0.77452,1,8.724,0.319
Env. (realmap_a),Expert (CTG),11,133,36,212,28,1.0,7.2619,4.3,0.167065,0.63353,0.0,0,0.63353,2,7.579,0.051
Env. (realmap_a),Expert (CTG),12,95,19,26,23,1.0,6.0162,3.65,0.113738,0.55597,0.0,0,0.55597,1,6.294,0.475
Env. (realmap_a),Expert (CTG),13,278,23,184,38,1.0,9.0875,5.25,0.23406,0.76429,0.0,0,0.76429,4,9.47,0.473
Env. (realmap_a),Expert (CTG),14,304,43,386,22,1.0,8.045,4.7,0.215751,0.70448,0.0,0,0.70448,5,8.397,0.892
Env. (realmap_a),Expert (CTG),15,77,15,153,41,1.0,7.3862,4.35,0.171139,0.63591,0.0,0,0.63591,2,7.704,0.444
Env. (realmap_a),Expert (CTG),16,83,19,177,26,1.0,8.7144,5.0,0.055831,0.70095,0.0,0,0.70095,3,9.065,0.625
Env. (realmap_a),Expert (CTG),17,191,37,58,39,1.0,12.5162,6.9,0.138606,0.99653,0.0,0,0.99653,2,13.015,0.349
Env. (realmap_a),Expert (CTG),18,273,24,182,16,1.0,8.4163,4.85,0.178322,0.68435,0.0,0,0.68435,5,8.758,0.391
Env. (realmap_a),Expert (CTG),19,357,116,401,38,1.0,8.2731,4.8,0.081079,0.64134,0.0,0,0.64134,1,8.594,0.003
Env. (realmap_a),Expert (CTG),20,242,37,321,20,1.0,7.3562,5.15,0.227163,0.6915,0.0,0,0.6915,4,7.702,0.319
Env. (realmap_a),Expert (CTG),21,371,112,348,22,1.0,9.0113,5.2,0.117401,0.69179,0.0,0,0.69179,2,9.357,0.677
Env. (realmap_a),Expert (CTG),22,129,40,31,52,1.0,9.5106,5.4,0.1752,0.72132,0.0,0,0.72132,5,9.871,0.337
Env. (realmap_a),Expert (CTG),23,29,48,86,45,0.0,2.2781,3.5,1.390735,0.52707,0.0,1,0.52707,180,inf,inf
Env. (realmap_a),Expert (CTG),24,84,38,17,35,1.0,5.8031,3.55,0.088365,0.50401,0.0,0,0.50401,2,6.055,0.178
Env. (realmap_a),Expert (CTG),25,140,33,30,55,1.0,11.06,6.2,0.155866,0.8052,0.0,0,0.8052,4,11.463,0.807
Env. (realmap_a),Expert (CTG),26,105,19,191,9,1.0,7.9375,4.65,0.083392,0.62408,0.0,0,0.62408,2,8.25,0.138
Env. (realmap_a),Expert (CTG),27,256,21,360,60,1.0,11.6144,6.45,0.191346,0.84527,0.0,0,0.84527,5,12.037,0.339
Env. (realmap_a),Expert (CTG),28,145,38,74,11,1.0,7.0031,4.15,0.217327,0.56637,0.0,0,0.56637,4,7.286,0.847
Env. (realmap_a),Expert (CTG),29,109,43,33,56,1.0,8.0162,4.65,0.281277,0.62851,0.0,0,0.62851,5,8.331,0.338
Env. (realmap_a),Expert (CTG),30,229,15,357,41,1.0,12.4025,6.85,0.137229,0.89443,0.0,0,0.89443,3,12.85,0.84
Env. (realmap_a),Expert (CTG),31,103,12,29,31,1.0,6.8163,4.05,0.158774,0.56687,0.0,0,0.56687,1,7.1,0.128
Env. (realmap_a),Expert (CTG),32,299,36,361,30,1.0,5.5525,3.45,0.104804,0.49844,0.0,0,0.49844,3,5.802,0.092
Env. (realmap_a),Expert (CTG),33,279,20,212,39,1.0,6.3956,3.85,0.354294,0.5544,0.0,0,0.5544,5,6.673,0.334
Env. (realmap_a),Expert (CTG),34,57,38,136,17,1.0,7.7862,4.55,0.269823,0.61613,0.0,0,0.61613,4,8.094,0.032
Env. (realmap_a),Expert (CTG),35,284,40,382,86,1.0,11.5725,6.45,0.222069,0.84137,0.0,0,0.84137,5,11.993,0.365
Env. (realmap_a),Expert (CTG),36,30,20,143,14,1.0,10.4844,5.9,0.060521,0.77238,0.0,0,0.77238,1,10.871,0.172
Env. (realmap_a),Expert (CTG),37,364,93,355,23,1.0,6.3163,3.8,0.083441,0.54203,0.0,0,0.54203,1,6.587,0.007
Env. (realmap_a),Expert (CTG),38,79,21,185,22,1.0,9.7113,5.55,0.062326,0.72476,0.0,0,0.72476,2,10.074,0.12
Env. (realmap_a),Expert (CTG),39,382,82,306,38,1.0,9.1637,5.25,0.241657,0.70833,0.0,0,0.70833,2,9.518,0.187
Env. (realmap_a),Expert (CTG),40,316,39,223,42,1.0,8.6106,5.0,0.174457,0.68622,0.0,0,0.68622,3,8.954,0.633
Env. (realmap_a),Expert (CTG),41,249,35,364,64,0.0,0.8794,3.75,0.255589,0.56709,0.0,0,0.56709,1,inf,inf
Env. (realmap_a),Expert (CTG),42,382,35,286,33,1.0,8.81,5.05,0.100527,0.68104,0.0,0,0.68104,3,9.151,0.674
Env. (realmap_a),Expert (CTG),43,381,66,302,22,0.0,6.8163,5.6,0.162721,0.76754,0.0,1,0.76754,180,inf,inf
Env. (realmap_a),Expert (CTG),44,389,90,367,36,1.0,4.9163,3.1,0.000598,0.44998,0.0,0,0.44998,0,5.141,0.043
Env. (realmap_a),Expert (CTG),45,236,21,142,31,1.0,8.86,5.1,0.108786,0.6773,0.0,0,0.6773,2,9.199,0.003
Env. (realmap_a),Expert (CTG),46,189,31,133,34,1.0,4.9163,3.1,0.304946,0.4549,0.0,0,0.4549,4,5.144,0.034
Env. (realmap_a),Expert (CTG),47,42,20,137,18,1.0,8.6125,4.95,0.049712,0.66747,0.0,0,0.66747,1,8.946,0.297
Env. (realmap_a),Expert (CTG),48,104,41,50,23,1.0,5.2875,3.4,0.305377,0.49699,0.0,0,0.49699,4,5.536,0.34
Env. (realmap_a),Expert (CTG),49,360,26,384,108,1.0,7.8144,4.55,0.106082,0.62183,0.0,0,0.62183,2,8.125,0.41
Env. (realmap_a),RRT*,0,362,42,271,15,1.0,9.0352,6.0,0.158585,5.94241,1.09248,0,7.03489,3,12.553,0.946
Env. (realmap_a),RRT*,1,207,36,333,21,1.0,11.9791,8.25,0.151392,1.33158,1.39242,0,2.724,2,13.341,0.585
Env. (realmap_a),RRT*,2,276,25,198,33,1.0,7.0795,5.0,0.166932,1.22457,0.81027,0,2.03484,2,8.097,0.667
Env. (realmap_a),RRT*,3,58,15,180,24,1.0,11.3225,7.25,0.0888,0.34824,1.21479,0,1.56304,1,12.104,0.857
Env. (realmap_a),RRT*,4,389,121,376,53,1.0,6.0032,4.65,0.141937,0.03972,0.76368,0,0.80339,1,6.405,0.889
