step,x_m,y_m,theta_rad,v_m_s,delta_rad,action,delta_dot_rad_s,a_m_s2,od_m,collision,reached,stuck,reward
17,33.71598806387489,2.5801785064210248,2.7619730168020427,0.825,-0.4537856060262543,24,0.3490658402442932,1.5,0.19276655981385682,False,False,False,-0.3091106286431339
18,33.674191809494545,2.5968540309936916,2.726999942347698,0.8999999999999999,-0.4363323140140396,24,0.3490658402442932,1.5,0.16311282024315266,False,False,False,-1.4117024772893534
19,33.62957188710297,2.616491368536486,2.6908251115180875,0.9749999999999999,-0.4188790220018249,24,0.3490658402442932,1.5,0.1370757442734334,False,False,False,-3.158806706737043
20,33.582315955505855,2.639363336726579,2.6536835648900237,1.0499999999999998,-0.40142572998961024,24,0.3490658402442932,1.5,0.1115152900882691,False,False,False,-5.67100053035978
21,33.53262948866039,2.6657322106580623,2.6158061059411297,1.1249999999999998,-0.38397243797739555,24,0.3490658402442932,1.5,0.09307308478847176,False,False,False,-41.41674066451069
22,33.48073372189536,2.695845818742606,2.579409082112017,1.1999999999999997,-0.34906585395296624,29,0.6981316804885864,1.5,0.07935163650535348,False,False,False,-70.60097112793336
23,33.426795279818094,2.7298267982205013,2.544886363850498,1.2749999999999997,-0.31415926992853693,29,0.6981316804885864,1.5,0.07326747654881538,False,False,False,-19.99594458264199
24,33.37095989383715,2.7677564656637976,2.512627507272656,1.3499999999999996,-0.2792526859041076,29,0.6981316804885864,1.5,0.07691323859966614,False,False,False,1.8115695066953936
25,33.31334452510335,2.8096734286462026,2.4830198061024973,1.4249999999999996,-0.2443461018796783,29,0.6981316804885864,1.5,0.08929552880226688,False,False,False,-7.3848078139112046
26,33.254029542257676,2.855572587789013,2.458722266793062,1.4999999999999996,-0.1919862228628021,34,1.0471975803375244,1.5,0.11287653793099661,False,False,False,76.91195102502228
27,33.19293807695376,2.905265599038282,2.4402762817449792,1.5749999999999995,-0.13962634384592587,34,1.0471975803375244,1.5,0.14392925374362342,False,False,False,5.406466030607485
28,33.12990861363016,2.95849657454258,2.428246590201285,1.6499999999999995,-0.08726646482904965,34,1.0471975803375244,1.5,0.13055877417041417,False,False,False,-34.60738371245287
29,33.06468838553846,3.0149357838537267,2.4207129714616276,1.7249999999999994,-0.052359880804620326,29,0.6981316804885864,1.5,0.1135592973560069,False,False,False,-24.310483749159538
30,32.99707810049109,3.0743399028675844,2.418094711083163,1.7999999999999994,-0.017453296780191002,29,0.6981316804885864,1.5,0.1094732022517072,False,False,False,-20.157649199315482
31,32.92681297754305,3.1364033784155847,2.420822064153617,1.8749999999999993,0.017453287244238322,29,0.6981316804885864,1.5,0.12037228849514836,False,False,False,33.04380135616506
32,32.853561481909395,3.200749849860663,2.4321851704708717,1.9499999999999993,0.06981316626111454,34,1.0471975803375244,1.5,0.14575724151348635,False,False,False,24.36085363318705
33,32.777686685373446,3.265888281301929,2.452649263555153,2.0,0.12217304527799076,34,1.0471975803375244,1.5,0.18755375510742944,False,False,False,0.4156007266032037
34,32.70049486978514,3.329460473384484,2.4790466696989446,2.0,0.1570796293024201,28,0.6981316804885864,0.75,0.2391422012929375,False,False,False,0.9295560693521702
35,32.62165200106728,3.3909730904019613,2.511443387128816,2.0,0.1919862133268494,28,0.6981316804885864,0.75,0.2954432169136145,False,False,False,1.0497728837392701
36,32.5408580450915,3.449899626680476,2.549921418033705,2.0,0.2268927973512787,28,0.6981316804885864,0.75,0.35219513375134115,False,False,False,1.057392367345836
37,32.45785707421256,3.5056745209713154,2.5914760841269917,2.0,0.24434608936349336,22,0.3490658402442932,0.0,0.4056148254644679,False,False,False,0.9544598962375809
