step,x_m,y_m,theta_rad,v_m_s,delta_rad,action,delta_dot_rad_s,a_m_s2,od_m,collision,reached,stuck,reward
25,26.58761240133059,2.2976736535091318,-2.9746875256670835,1.8749999999999993,0.08726646006107328,14,-0.3490658402442932,1.5,0.12271520150993454,False,False,False,5.486263392706103
26,26.49146729606738,2.2814758532286437,-2.9633244190579004,1.9499999999999993,0.06981316804885862,14,-0.3490658402442932,1.5,0.10551343236713717,False,False,False,9.349233043845848
27,26.39305207060866,2.2637433012998005,-2.960415242151368,2.0,0.0174532890319824,4,-1.0471975803375244,1.5,0.10238495166794437,False,False,False,-47.467419042973034
28,26.29468884866674,2.2457245175116443,-2.963324420051614,2.0,-0.017453294992446924,7,-0.6981316804885864,0.0,0.11224616511775176,False,False,False,-79.9356081304884
29,26.1962736231904,2.2279919656805975,-2.9720590501756288,2.0,-0.05235987901687625,7,-0.6981316804885864,0.0,0.12782386926910994,False,False,False,50.99992628681826
30,26.097707266612236,2.211119699949341,-2.9837135189918738,2.0,-0.0698131710290909,12,-0.3490658402442932,0.0,0.1152661061397573,False,False,False,53.719438152825795
31,25.998950971083563,2.1953972925810903,-3.001230891525008,2.0,-0.10471975505352023,7,-0.6981316804885864,0.0,0.09630774434097755,False,False,False,-7.3109492472654045
32,25.899934426082282,2.1814071597722235,-3.021694984911739,2.0,-0.1221730470657349,12,-0.3490658402442932,0.0,0.09363179144958833,False,False,False,-125.22936157746936
33,25.800652337985873,2.169446098648008,-3.0451184571783108,2.0,-0.13962633907794955,12,-0.3490658402442932,0.0,0.10101112945488544,False,False,False,-37.137075706930766
34,25.701117340687805,2.159813637234971,-3.0685419294448826,2.0,-0.13962633907794955,17,0.0,0.0,0.11523899747088517,False,False,False,100.46291894696421
35,25.60138404246859,2.1525150602286387,-3.094939335894106,2.0,-0.1570796310901642,12,-0.3490658402442932,0.0,0.14139899437929082,False,False,False,38.905631950926896
36,25.501492849333907,2.1478514206489256,-3.124327165651808,2.0,-0.17453292310237886,12,-0.3490658402442932,0.0,0.18028632291676772,False,False,False,-0.02896591566413642
37,25.40150775381734,2.1461249576337056,3.126461423788692,2.0,-0.19198621511459352,12,-0.3490658402442932,0.0,0.22939503809141737,False,False,False,0.9943640419408855
